ATag,MTurk,ES.explicitly.reported,ES.Inferable,PPV.Computable,Multiple.Comparisons.Present,Machine.Learning,Signal.Detection.Theory,Selected.for.ES.Comparison,Small.User.Study,SEM,LogReg,MC.Violated,Replication.Study,PubYear,ACPA,Sample,Citations.GS.2021.06.07,Study1,Study2,Study3,Study4,Study5
5bcaab40e603555f43dcfbccbf589657c3b9169d,No,No,No,No,No,No,No,No,No,No,No,No,No,2014,4.714285714,1165,33,NA,,,,
ff8d60099a5a7097fec88daedbcd8ab6241b56a7,No,No,No,No,No,No,No,No,Yes,No,No,No,No,2014,3.428571429,50,24,25,27,,,
75705d3ef178867a62ef659e1f16ac7b7dd238aa,No,No,No,No,No,No,No,No,Yes,No,No,No,No,2010,3.545454545,34,39,NA,,,,
061eff36a59028fcb5405ad3b5a6b53625beace1,No,No,No,No,No,No,No,No,No,No,No,No,No,2012,9.333333333,362,84,NA,,,,
49f58c9bb602d9cbd762b698b47c57e13464328e,Yes,No,No,No,No,No,No,No,No,No,No,No,No,2014,4.857142857,180,34,180,38,,,
805e0e63c687e70a68d86840da46e48bf69fa1dc,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,2014,NA,NA,NA,NA,,,,
0f2b7fcd5c142448ee6d975a67a074bb4b8ac55f,No,No,No,No,No,No,No,No,Yes,No,No,No,No,2012,133.7777778,308,1204,308,25,,,
8dad0c265f2fcb02ac4ec66ca7dca3b8ff6f281c,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,2014,3.285714286,90,23,NA,,,,
1110d77f3d6dbde2ced4235b6492abb6a05620b7,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,2015,7.166666667,397,43,NA,,,,
d3d319ab3c09cf449f4368effdb33be47caa9a26,No,No,No,No,No,No,No,No,Yes,No,No,No,No,2014,4.142857143,397,29,NA,,,,
885c92b648b1841021ab5706ff45731c8f80b960,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,2016,4.2,26,21,NA,,,,
7a61d593ab2b4b616e83b8daf7f56b9f874916a1,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,2014,9.857142857,701,69,NA,,,,
699618e2595639c3ae334a21eb2840916093a550,No,No,No,No,No,No,No,No,Yes,No,No,No,No,2009,3,30,36,NA,,,,
